Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
GD,General Dynamics Corp.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/GD,stocks/gd,DMDRN/GD_ALLFINANCIALRATIOS
GE,General Electric Company,Industrial Goods,Diversified Machinery,WIKI/GE,stocks/ge,DMDRN/GE_ALLFINANCIALRATIOS
GILD,Gilead Sciences Inc.,Healthcare,Biotechnology,WIKI/GILD,stocks/gild,DMDRN/GILD_ALLFINANCIALRATIOS
GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,WIKI/GIS,stocks/gis,DMDRN/GIS_ALLFINANCIALRATIOS
GLW,Corning Inc.,Technology,Diversified Electronics,WIKI/GLW,stocks/glw,DMDRN/GLW_ALLFINANCIALRATIOS
GM,General Motors Company,Consumer Goods,Auto Manufacturers - Major,WIKI/GM,stocks/gm,DMDRN/GM_ALLFINANCIALRATIOS
GME,GameStop Corp.,Services,Electronics Stores,WIKI/GME,stocks/gme,DMDRN/GME_ALLFINANCIALRATIOS
GNW,Genworth Financial Inc.,Financial,Life Insurance,WIKI/GNW,stocks/gnw,DMDRN/GNW_ALLFINANCIALRATIOS
GOOG,Google Inc.,Technology,Internet Information Providers,WIKI/GOOG,stocks/goog,DMDRN/GOOG_ALLFINANCIALRATIOS
GPC,Genuine Parts Company,Services,Auto Parts Wholesale,WIKI/GPC,stocks/gpc,DMDRN/GPC_ALLFINANCIALRATIOS
HES,Hess Corporation,Basic Materials,Independent Oil & Gas,WIKI/HES,stocks/hes,DMDRN/HES_ALLFINANCIALRATIOS
HIG,"The Hartford Financial Services Group, Inc.",Financial,Property & Casualty Insurance,WIKI/HIG,stocks/hig,DMDRN/HIG_ALLFINANCIALRATIOS
HOG,"Harley-Davidson, Inc.",Consumer Goods,Recreational Vehicles,WIKI/HOG,stocks/hog,DMDRN/HOG_ALLFINANCIALRATIOS
HON,Honeywell International Inc.,Industrial Goods,Diversified Machinery,WIKI/HON,stocks/hon,DMDRN/HON_ALLFINANCIALRATIOS
HOT,Starwood Hotels & Resorts Worldwide Inc.,Services,Lodging,WIKI/HOT,stocks/hot,DMDRN/HOT_ALLFINANCIALRATIOS
HPQ,Hewlett-Packard Company,Technology,Diversified Computer Systems,WIKI/HPQ,stocks/hpq,DMDRN/HPQ_ALLFINANCIALRATIOS
HRB,,Services,Personal Services,WIKI/HRB,stocks/hrb,DMDRN/HRB_ALLFINANCIALRATIOS
HRL,Hormel Foods Corporation,Consumer Goods,Meat Products,WIKI/HRL,stocks/hrl,DMDRN/HRL_ALLFINANCIALRATIOS
HRS,Harris Corporation,Technology,Communication Equipment,WIKI/HRS,stocks/hrs,DMDRN/HRS_ALLFINANCIALRATIOS
HSP,Hospira Inc.,Healthcare,Drugs - Generic,WIKI/HSP,stocks/hsp,DMDRN/HSP_ALLFINANCIALRATIOS
HST,"Host Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,WIKI/HST,stocks/hst,DMDRN/HST_ALLFINANCIALRATIOS
HSY,The Hershey Company,Consumer Goods,Confectioners,WIKI/HSY,stocks/hsy,DMDRN/HSY_ALLFINANCIALRATIOS
HUM,Humana Inc.,Healthcare,Health Care Plans,WIKI/HUM,stocks/hum,DMDRN/HUM_ALLFINANCIALRATIOS
IBM,International Business Machines Corporation,Technology,Information Technology Services,WIKI/IBM,stocks/ibm,DMDRN/IBM_ALLFINANCIALRATIOS
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,WIKI/IFF,stocks/iff,DMDRN/IFF_ALLFINANCIALRATIOS
INTC,Intel Corporation,Technology,Semiconductor - Broad Line,WIKI/INTC,stocks/intc,DMDRN/INTC_ALLFINANCIALRATIOS
INTU,Intuit Inc.,Technology,Application Software,WIKI/INTU,stocks/intu,DMDRN/INTU_ALLFINANCIALRATIOS
IP,International Paper Company,Consumer Goods,Packaging & Containers,WIKI/IP,stocks/ip,DMDRN/IP_ALLFINANCIALRATIOS
IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,WIKI/IPG,stocks/ipg,DMDRN/IPG_ALLFINANCIALRATIOS
IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,WIKI/IR,stocks/ir,DMDRN/IR_ALLFINANCIALRATIOS
IRM,Iron Mountain Inc.,Technology,Business Software & Services,WIKI/IRM,stocks/irm,DMDRN/IRM_ALLFINANCIALRATIOS
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/ISRG,stocks/isrg,DMDRN/ISRG_ALLFINANCIALRATIOS
ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,WIKI/ITW,stocks/itw,DMDRN/ITW_ALLFINANCIALRATIOS
IVZ,Invesco Ltd.,Financial,Asset Management,WIKI/IVZ,stocks/ivz,DMDRN/IVZ_ALLFINANCIALRATIOS
JCI,Johnson Controls Inc.,Consumer Goods,Auto Parts,WIKI/JCI,stocks/jci,DMDRN/JCI_ALLFINANCIALRATIOS
JEC,Jacobs Engineering Group Inc.,Services,Technical Services,WIKI/JEC,stocks/jec,DMDRN/JEC_ALLFINANCIALRATIOS
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,WIKI/JNJ,stocks/jnj,DMDRN/JNJ_ALLFINANCIALRATIOS
JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices,WIKI/JNPR,stocks/jnpr,DMDRN/JNPR_ALLFINANCIALRATIOS
LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,WIKI/LEG,stocks/leg,DMDRN/LEG_ALLFINANCIALRATIOS
LEN,Lennar Corp.,Industrial Goods,Residential Construction,WIKI/LEN,stocks/len,DMDRN/LEN_ALLFINANCIALRATIOS
LH,Laboratory Corp. of America Holdings,Healthcare,Medical Laboratories & Research,WIKI/LH,stocks/lh,DMDRN/LH_ALLFINANCIALRATIOS
LLL,L-3 Communications Holdings Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/LLL,stocks/lll,DMDRN/LLL_ALLFINANCIALRATIOS
LLTC,Linear Technology Corporation,Technology,Semiconductor - Specialized,WIKI/LLTC,stocks/lltc,DMDRN/LLTC_ALLFINANCIALRATIOS
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major,WIKI/LLY,stocks/lly,DMDRN/LLY_ALLFINANCIALRATIOS
LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,WIKI/LMT,stocks/lmt,DMDRN/LMT_ALLFINANCIALRATIOS
LNC,Lincoln National Corporation,Financial,Life Insurance,WIKI/LNC,stocks/lnc,DMDRN/LNC_ALLFINANCIALRATIOS
LO,"Lorillard, Inc.",Consumer Goods,Cigarettes,WIKI/LO,stocks/lo,DMDRN/LO_ALLFINANCIALRATIOS
LOW,Lowe's Companies Inc.,Services,Home Improvement Stores,WIKI/LOW,stocks/low,DMDRN/LOW_ALLFINANCIALRATIOS
